mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_model__optimizer;param_model__neurons;param_model__loss;param_model__kernel_initializer;param_model__dropout_rate;param_model__activation;param_epochs;param_batch_size;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score
51.35440524419149;0.3948461403991062;0.5077099800109863;0.0232065646479724;adam;16;mse;random_uniform;0.3;tanh;100;32;{'model__optimizer': 'adam', 'model__neurons': 16, 'model__loss': 'mse', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0.3, 'model__activation': 'tanh', 'epochs': 100, 'batch_size': 32};-53752.89989389562;-54155.66515317334;-54461.663006314986;-54123.40935112798;290.2488759160412;69
48.93648989995321;0.5299562317123752;0.7822464307149252;0.1081035979123483;sgd;32;mse;normal;0.2;tanh;100;32;{'model__optimizer': 'sgd', 'model__neurons': 32, 'model__loss': 'mse', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.2, 'model__activation': 'tanh', 'epochs': 100, 'batch_size': 32};-8990.495090998973;-9119.76464777646;-8920.806111072807;-9010.355283282746;82.4295467251721;20
50.41699560483297;1.739463190038519;0.8731407324473063;0.0222148933307311;sgd;16;mse;random_uniform;0.3;relu;100;32;{'model__optimizer': 'sgd', 'model__neurons': 16, 'model__loss': 'mse', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0.3, 'model__activation': 'relu', 'epochs': 100, 'batch_size': 32};;;;;;92
53.26680151621501;0.4499329877048201;0.8105242252349854;0.077659018011481;sgd;32;mse;random_uniform;0.3;tanh;100;32;{'model__optimizer': 'sgd', 'model__neurons': 32, 'model__loss': 'mse', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0.3, 'model__activation': 'tanh', 'epochs': 100, 'batch_size': 32};-9207.981920922864;-9038.308748187816;-8839.356010410427;-9028.548893173704;150.6490547657102;21
57.993877490361534;0.3702767852974759;0.6864362557729086;0.0664049357431351;adam;32;mse;normal;0.2;tanh;100;32;{'model__optimizer': 'adam', 'model__neurons': 32, 'model__loss': 'mse', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.2, 'model__activation': 'tanh', 'epochs': 100, 'batch_size': 32};-53527.65367807531;-53932.04329648389;-54236.82059908842;-53898.83919121587;290.4666531862046;59
26.418225685755413;1.6608779744366424;0.7638943195343018;0.0714944092968105;sgd;16;mse;normal;0.2;relu;50;32;{'model__optimizer': 'sgd', 'model__neurons': 16, 'model__loss': 'mse', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.2, 'model__activation': 'relu', 'epochs': 50, 'batch_size': 32};;;;;;92
51.04073556264242;0.3639895029551516;0.6850340366363525;0.0581341445744198;adam;4;mae;random_uniform;0.3;relu;100;32;{'model__optimizer': 'adam', 'model__neurons': 4, 'model__loss': 'mae', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0.3, 'model__activation': 'relu', 'epochs': 100, 'batch_size': 32};-14516.741892787428;-27608.54059516618;-27841.035434495592;-23322.105974149734;6227.056068297859;33
27.083688100179035;2.5692464955223238;0.884913444519043;0.0987912121530096;sgd;4;mse;normal;0.3;tanh;50;32;{'model__optimizer': 'sgd', 'model__neurons': 4, 'model__loss': 'mse', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.3, 'model__activation': 'tanh', 'epochs': 50, 'batch_size': 32};-8981.93219259399;-8902.542400904293;-8825.642103264527;-8903.372232254269;63.80785986436108;7
32.64610107739767;1.7645688319876798;0.8090267976125082;0.0495499127070393;adam;16;mse;random_uniform;0.3;relu;50;32;{'model__optimizer': 'adam', 'model__neurons': 16, 'model__loss': 'mse', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0.3, 'model__activation': 'relu', 'epochs': 50, 'batch_size': 32};-8355.912976065925;-5013.906337427348;-7738.747483894569;-7036.188932462615;1451.9971262181627;6
56.91235693295797;0.3831278433236373;0.7596867879231771;0.0868427173625185;sgd;16;mae;normal;0.3;relu;100;32;{'model__optimizer': 'sgd', 'model__neurons': 16, 'model__loss': 'mae', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.3, 'model__activation': 'relu', 'epochs': 100, 'batch_size': 32};-15682.767966643603;-54260.3469921626;-73883.85667524884;-47942.32387801834;24176.844897130806;47
53.67400097846985;0.4323274802527069;0.8455760478973389;0.0606463844177474;sgd;32;mae;normal;0.3;relu;100;32;{'model__optimizer': 'sgd', 'model__neurons': 32, 'model__loss': 'mae', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.3, 'model__activation': 'relu', 'epochs': 100, 'batch_size': 32};-15837.466876715313;-54260.349494604;-11740.529584718935;-27279.448652012758;19151.553139836007;38
29.860208988189697;0.9502122553289396;0.8687384923299154;0.0109453932545218;adam;4;mae;normal;0.3;tanh;50;32;{'model__optimizer': 'adam', 'model__neurons': 4, 'model__loss': 'mae', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.3, 'model__activation': 'tanh', 'epochs': 50, 'batch_size': 32};-53957.558776036734;-54363.11818280591;-54666.66329145465;-54329.11341676576;290.48757464144404;89
59.29841168721517;1.6080964689005168;0.6607531706492106;0.0434248120239829;adam;32;mae;normal;0.3;tanh;100;32;{'model__optimizer': 'adam', 'model__neurons': 32, 'model__loss': 'mae', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.3, 'model__activation': 'tanh', 'epochs': 100, 'batch_size': 32};-53528.13008798742;-53933.25359311474;-54237.70933199858;-53899.69767103358;290.65463562207384;60
58.795674562454224;1.2474685597394215;0.6445600986480713;0.0478587489422218;adam;16;mae;normal;0.2;tanh;100;32;{'model__optimizer': 'adam', 'model__neurons': 16, 'model__loss': 'mae', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.2, 'model__activation': 'tanh', 'epochs': 100, 'batch_size': 32};-53751.65534128332;-54156.07686581982;-54460.52569247221;-54122.75263319178;290.3528566633513;67
28.041242917378742;2.034960631294568;0.765050490697225;0.0920458882468241;sgd;32;mse;random_uniform;0.3;relu;50;32;{'model__optimizer': 'sgd', 'model__neurons': 32, 'model__loss': 'mse', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0.3, 'model__activation': 'relu', 'epochs': 50, 'batch_size': 32};;;;;;92
25.31821854909261;1.7024479724431618;0.7229437033335367;0.0886792560381152;sgd;32;mae;normal;0.2;relu;50;32;{'model__optimizer': 'sgd', 'model__neurons': 32, 'model__loss': 'mae', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.2, 'model__activation': 'relu', 'epochs': 50, 'batch_size': 32};-53926.59672464513;-54330.35530057324;-54634.71756411528;-54297.22319644455;290.03687474293315;86
24.994779507319134;1.7482067821705756;0.7753603458404541;0.1141936472979081;sgd;32;mae;random_uniform;0.3;tanh;50;32;{'model__optimizer': 'sgd', 'model__neurons': 32, 'model__loss': 'mae', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0.3, 'model__activation': 'tanh', 'epochs': 50, 'batch_size': 32};-51685.09572519445;-52089.097465185056;-52394.69337130522;-52056.29552056157;290.6190869159586;52
53.47248379389445;2.256013310966783;0.8418434460957845;0.084358710967772;adam;4;mse;normal;0.2;tanh;100;32;{'model__optimizer': 'adam', 'model__neurons': 4, 'model__loss': 'mse', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.2, 'model__activation': 'tanh', 'epochs': 100, 'batch_size': 32};-53922.5186302344;-54327.90538754834;-54631.84004641508;-54294.08802139927;290.5648849546803;84
58.05915093421936;0.6407654567342188;0.8840013345082601;0.0746371897978468;adam;16;mse;normal;0.2;tanh;100;32;{'model__optimizer': 'adam', 'model__neurons': 16, 'model__loss': 'mse', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.2, 'model__activation': 'tanh', 'epochs': 100, 'batch_size': 32};-53752.37284006261;-54155.642417577634;-54460.58984042143;-54122.86836602056;290.0556656240429;68
55.80984886487325;1.3390554865828186;0.8792224725087484;0.0307620887688447;sgd;32;mse;normal;0.3;relu;100;32;{'model__optimizer': 'sgd', 'model__neurons': 32, 'model__loss': 'mse', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.3, 'model__activation': 'relu', 'epochs': 100, 'batch_size': 32};;;;;;92
25.815815925598145;2.187035119100878;0.7403411865234375;0.1192440618428559;sgd;32;mae;random_uniform;0.3;relu;50;32;{'model__optimizer': 'sgd', 'model__neurons': 32, 'model__loss': 'mae', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0.3, 'model__activation': 'relu', 'epochs': 50, 'batch_size': 32};-53926.59672464513;-16653.68044527583;-17720.047963171724;-29433.4417110309;17324.746593846772;39
26.937385082244877;0.7101284488656194;0.7593356768290201;0.1216505074882947;sgd;32;mse;random_uniform;0.2;relu;50;32;{'model__optimizer': 'sgd', 'model__neurons': 32, 'model__loss': 'mse', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0.2, 'model__activation': 'relu', 'epochs': 50, 'batch_size': 32};;;;;;92
49.705647786458336;0.4964862467192567;0.7692038218180338;0.0728011539892651;sgd;16;mae;normal;0.3;tanh;100;32;{'model__optimizer': 'sgd', 'model__neurons': 16, 'model__loss': 'mae', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.3, 'model__activation': 'tanh', 'epochs': 100, 'batch_size': 32};-51617.950461522574;-52021.626762060056;-52323.67774630522;-51987.75165662928;289.1059692657475;49
26.6796510219574;1.7667945602394484;0.7075839837392172;0.0596738123590869;adam;4;mse;random_uniform;0.2;relu;50;32;{'model__optimizer': 'adam', 'model__neurons': 4, 'model__loss': 'mse', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0.2, 'model__activation': 'relu', 'epochs': 50, 'batch_size': 32};-9377.136557348498;-54393.33539834393;-12110.174430580604;-25293.548795424344;20606.8849215616;35
30.749998251597088;1.3128835300998518;0.6730702718098959;0.0397110827919166;adam;16;mae;normal;0.3;relu;50;32;{'model__optimizer': 'adam', 'model__neurons': 16, 'model__loss': 'mae', 'model__kernel_initializer': 'normal', 'model__dropout_rate': 0.3, 'model__activation': 'relu', 'epochs': 50, 'batch_size': 32};-16011.838486397606;-6010.625172990491;-7622.068889658438;-9881.510849682178;4384.432719908386;23
30.557367006937664;2.59013468113168;0.817488431930542;0.1108805727441969;adam;4;mae;random_uniform;0.2;relu;50;32;{'model__optimizer': 'adam', 'model__neurons': 4, 'model__loss': 'mae', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0.2, 'model__activation': 'relu', 'epochs': 50, 'batch_size': 32};-17895.230860034353;-18933.52203698315;-19375.216600602973;-18734.656499206827;620.3494040500681;29
46.03265372912089;2.758954722065499;0.6950692335764567;0.0590816635715335;sgd;32;mae;random_uniform;0.2;relu;100;32;{'model__optimizer': 'sgd', 'model__neurons': 32, 'model__loss': 'mae', 'model__kernel_initializer': 'random_uniform', 'model__dropout_rate': 0.2, 'model__activation': 'relu', 'epochs': 100, 'batch_size': 32};-10515.734888247269;-12139.271544155496;-12666.88988918151;-11773.96544052809;915.4064203116473;26
